id,date,amount,merchant,description,category
374,2024-05-31,48.8,"Mcgrath, Young and Perry","Mcgrath, Young and Perry - Electric bill payment",Bills
375,2023-10-22,10.95,Nguyen-Terry,Nguyen-Terry - Monthly subscription,Health
376,2024-09-19,59.81,Wyatt-Barnes,Wyatt-Barnes - Grocery shopping,Transport
377,2024-04-12,64.31,Corner Grocery,Corner Grocery - Monthly subscription,Travel
378,2023-09-02,2.64,Lyft,Lyft - Course fee,Transport
379,2024-06-02,30.69,"Flynn, Martin and Rivera",Gas refill,Bills
380,2024-09-25,11.67,Mall Outlet,Mall Outlet - Flight booking,Others
381,2025-03-13,22.2,"Perez, Melton and Baker","Perez, Melton and Baker - Taxi ride",Food
382,2025-04-26,81.34,Walmart Supercenter,Monthly subscription,Shopping
383,2025-08-25,3.51,Hilton Hotels,Hilton Hotels - Gas refill,Travel
384,2026-01-24,6.77,Joe's Pizza,Joe's Pizza - Lunch with friends,Food
385,2024-08-11,72.68,"Pope, Arnold and Meyer",Monthly subscription,Transport
386,2024-07-22,17.94,"Brown, Parker and Guzman",Lunch with friends,Bills
387,2026-05-08,3.3,"Johnston, Crane and Bell",Monthly subscription,Food
388,2024-06-29,11.57,Harris Ltd,Course fee,Others
389,2025-01-06,13.08,Hilton Hotels,Hilton Hotels - Taxi ride,Travel
390,2026-08-15,17.64,Local Taxi,Flight booking,Others
391,2026-08-19,70.83,Mack PLC,Mack PLC - Online purchase,Shopping
392,2024-05-03,85.37,Delta Airlines,Gas refill,Travel
393,2025-01-13,28.94,Lane-Woods,Lane-Woods - Hotel stay,Travel
394,2024-05-13,27.98,Sullivan LLC,Sullivan LLC - Gas refill,Bills
395,2024-10-13,14.04,Martin and Sons,Martin and Sons - Electric bill payment,Bills
396,2026-01-19,7.0,Local Taxi,Grocery shopping,Food
397,2023-09-27,26.59,State University,State University - Electric bill payment,Education
398,2025-01-28,37.14,Gas Station,Taxi ride,Bills
399,2026-05-18,35.84,Starbucks Coffee,Grocery shopping,Utilities
400,2026-04-03,13.7,State University,Hotel stay,Travel
401,2026-07-26,12.49,Electric Company,Electric Company - Grocery shopping,Bills
402,2024-02-06,6.83,Local High School,Lunch with friends,Education
403,2024-08-03,55.98,Cortez Group,Online purchase,Entertainment
404,2024-01-26,51.59,Spotify,Course fee,Entertainment
405,2025-10-25,9.42,"Green, Maldonado and Coleman","Green, Maldonado and Coleman - Monthly subscription",Others
406,2023-10-04,74.1,Singh-Christian,Singh-Christian - Course fee,Travel
407,2023-09-23,175.93,Mitchell-Page,Mitchell-Page - Lunch with friends,Health
408,2025-11-04,17.37,Waterworks,Online purchase,Bills
409,2026-05-24,9.73,Netflix Streaming,Grocery shopping,Entertainment
410,2026-05-30,19.52,Waterworks,Waterworks - Lunch with friends,Bills
411,2024-04-24,8.54,"Cantu, Sawyer and Boyle","Cantu, Sawyer and Boyle - Electric bill payment",Bills
412,2025-05-15,26.43,Spotify,Spotify - Monthly subscription,Entertainment
413,2024-12-24,35.87,Joe's Pizza,Electric bill payment,Food
414,2024-01-01,1.65,Spotify,Spotify - Lunch with friends,Entertainment
415,2024-11-02,105.13,Walmart Supercenter,Grocery shopping,Shopping
416,2024-03-08,10.62,Delta Airlines,Delta Airlines - Electric bill payment,Travel
417,2024-10-17,33.59,Reid Group,Gas refill,Bills
418,2025-07-03,30.59,Gas Station,Flight booking,Bills
419,2025-09-10,47.57,CVS Pharmacy,CVS Pharmacy - Grocery shopping,Health
420,2025-06-12,10.08,Spotify,Flight booking,Entertainment
421,2024-10-10,23.67,Joe's Pizza,Joe's Pizza - Gas refill,Food
422,2025-09-17,12.09,Novak-Shah,Online purchase,Shopping
423,2026-07-15,140.88,"Ward, Henry and Baker",Online purchase,Food
424,2024-08-23,40.65,Hilton Hotels,Hilton Hotels - Online purchase,Travel
425,2025-06-13,37.44,Joe's Pizza,Monthly subscription,Food
426,2026-08-21,20.74,Mall Outlet,Monthly subscription,Bills
427,2024-05-14,43.52,Amazon Marketplace,Amazon Marketplace - Flight booking,Shopping
428,2025-06-16,13.6,Hilton Hotels,Hilton Hotels - Electric bill payment,Travel
429,2025-08-04,17.83,Local Taxi,Grocery shopping,Travel
430,2026-07-10,114.57,Corner Grocery,Corner Grocery - Gas refill,Bills
431,2023-09-23,16.4,"Medina, Romero and Cole",Lunch with friends,Travel
432,2025-03-06,18.01,Caldwell-Woods,Caldwell-Woods - Grocery shopping,Entertainment
433,2025-09-23,10.84,Electric Company,Electric Company - Grocery shopping,Bills
434,2025-05-02,16.61,Local High School,Monthly subscription,Education
435,2024-12-10,126.51,"Lee, Turner and Harrison",Lunch with friends,Food
436,2025-11-09,38.06,Netflix Streaming,Netflix Streaming - Gas refill,Entertainment
437,2023-09-07,164.86,Mall Outlet,Mall Outlet - Gas refill,Bills
438,2024-10-23,39.76,Amazon Marketplace,Amazon Marketplace - Prescription purchase,Shopping
439,2025-05-02,19.76,Amazon Marketplace,Amazon Marketplace - Gas refill,Shopping
440,2026-07-24,12.87,Lewis Inc,Lewis Inc - Online purchase,Shopping
441,2025-06-28,31.18,Corner Grocery,Flight booking,Food
442,2025-09-10,3.8,Local High School,Hotel stay,Travel
443,2024-10-04,27.15,Spotify,Spotify - Taxi ride,Entertainment
444,2024-08-30,52.37,City Hospital,City Hospital - Monthly subscription,Utilities
445,2025-07-14,41.39,Hilton Hotels,Flight booking,Travel
446,2023-12-20,78.14,Uber Eats,Flight booking,Transport
447,2024-06-17,12.32,Corner Grocery,Corner Grocery - Monthly subscription,Transport
448,2024-10-17,79.56,State University,State University - Flight booking,Education
449,2026-03-24,40.08,Gibson-Oconnell,Gibson-Oconnell - Monthly subscription,Transport
450,2024-11-03,6.51,CVS Pharmacy,CVS Pharmacy - Hotel stay,Travel
451,2026-05-10,35.87,Hicks Group,Hicks Group - Taxi ride,Bills
452,2024-05-13,29.15,Uber Eats,Uber Eats - Electric bill payment,Transport
453,2025-10-03,7.21,Gas Station,Online purchase,Bills
454,2024-02-14,73.57,Hilton Hotels,Hilton Hotels - Monthly subscription,Travel
455,2025-05-24,11.43,"Hodge, Zimmerman and Stevens",Flight booking,Shopping
456,2026-01-01,94.44,City Hospital,City Hospital - Prescription purchase,Bills
457,2025-03-26,2.35,Joe's Pizza,Joe's Pizza - Gas refill,Food
458,2026-08-07,37.37,Flores PLC,Flores PLC - Online purchase,Others
459,2026-03-23,33.0,Ramos and Sons,Monthly subscription,Others
460,2025-10-19,38.84,Lyft,Lyft - Lunch with friends,Transport
461,2024-09-04,19.3,Lee-Mahoney,Lee-Mahoney - Hotel stay,Travel
462,2025-05-31,25.7,State University,State University - Flight booking,Education
463,2026-05-14,13.83,City Hospital,Taxi ride,Bills
464,2023-10-20,17.48,Spotify,Spotify - Online purchase,Entertainment
465,2026-08-06,19.12,Uber Eats,Uber Eats - Flight booking,Transport
466,2025-07-21,63.56,Local High School,Flight booking,Education
467,2024-01-23,1.47,Wright and Sons,Prescription purchase,Entertainment
468,2026-01-24,19.9,Jenkins Inc,Online purchase,Food
469,2026-04-03,52.66,Jones-Orr,Jones-Orr - Electric bill payment,Bills
470,2025-02-05,48.21,Delta Airlines,Delta Airlines - Prescription purchase,Travel
471,2025-06-03,111.39,Gas Station,Gas Station - Flight booking,Bills
472,2025-01-14,62.21,CVS Pharmacy,Monthly subscription,Health
473,2025-05-27,73.85,"Davis, Jensen and Larson","Davis, Jensen and Larson - Online purchase",Entertainment
474,2025-10-20,9.04,Joe's Pizza,Joe's Pizza - Hotel stay,Food
475,2025-06-06,49.91,Local High School,Taxi ride,Education
476,2024-02-25,60.01,Local Taxi,Course fee,Shopping
477,2023-12-01,1.78,Raymond Ltd,Raymond Ltd - Grocery shopping,Food
478,2024-11-12,42.95,Walls Inc,Flight booking,Travel
479,2023-12-14,37.15,Delta Airlines,Electric bill payment,Travel
480,2026-06-18,19.89,Wells PLC,Wells PLC - Lunch with friends,Others
481,2024-02-27,29.04,Delta Airlines,Delta Airlines - Hotel stay,Travel
482,2024-02-09,13.9,Odom Group,Odom Group - Monthly subscription,Travel
483,2024-01-18,40.15,State University,State University - Flight booking,Education
484,2024-07-13,67.98,Ramirez and Sons,Ramirez and Sons - Grocery shopping,Shopping
485,2025-10-27,9.3,"Watts, Jones and Hicks","Watts, Jones and Hicks - Grocery shopping",Bills
486,2025-10-28,32.97,Gas Station,Electric bill payment,Bills
487,2026-05-30,26.77,Hilton Hotels,Grocery shopping,Travel
488,2026-04-29,12.06,Harris-Wilson,Harris-Wilson - Flight booking,Entertainment
489,2023-12-27,8.92,Nixon and Sons,Nixon and Sons - Course fee,Shopping
490,2026-08-19,11.57,Williams and Sons,Grocery shopping,Food
491,2024-08-13,37.46,Hilton Hotels,Online purchase,Travel
492,2026-06-18,13.2,Scott-Gray,Flight booking,Entertainment
493,2026-03-06,1.09,Uber Eats,Prescription purchase,Transport
494,2024-07-12,90.24,Gas Station,Hotel stay,Travel
495,2026-06-23,76.8,Corner Grocery,Corner Grocery - Gas refill,Bills
496,2026-01-28,42.45,Singh-Walker,Gas refill,Bills
497,2024-06-14,8.04,Delta Airlines,Monthly subscription,Travel
498,2026-08-18,10.14,Local High School,Local High School - Grocery shopping,Education
499,2024-05-08,36.39,Thompson Ltd,Course fee,Transport
500,2026-06-29,33.85,State University,State University - Flight booking,Education
501,2026-01-12,4.74,"Larsen, Butler and Pena","Larsen, Butler and Pena - Taxi ride",Utilities
502,2025-06-18,6.28,Uber Eats,Uber Eats - Flight booking,Transport
503,2026-04-07,39.74,Short LLC,Short LLC - Hotel stay,Travel
504,2025-12-10,42.05,Olson and Sons,Olson and Sons - Gas refill,Bills
505,2023-11-25,17.25,CVS Pharmacy,CVS Pharmacy - Course fee,Health
506,2025-03-30,11.73,Netflix Streaming,Netflix Streaming - Hotel stay,Travel
507,2023-10-17,111.6,Hilton Hotels,Electric bill payment,Travel
508,2024-05-28,23.39,Rodriguez LLC,Lunch with friends,Entertainment
509,2026-04-01,26.58,CVS Pharmacy,Grocery shopping,Health
510,2025-08-29,64.86,Corner Grocery,Corner Grocery - Flight booking,Others
511,2023-11-11,104.51,Harris-Brown,Hotel stay,Travel
512,2025-05-08,38.44,Lyft,Lyft - Online purchase,Transport
513,2024-10-15,14.8,Dalton Inc,Dalton Inc - Grocery shopping,Entertainment
514,2026-06-21,6.18,Bush-Garner,Online purchase,Shopping
515,2023-12-10,58.65,Mueller Inc,Online purchase,Utilities
516,2026-01-10,77.75,Uber Eats,Uber Eats - Prescription purchase,Transport
517,2023-10-10,25.96,Local High School,Hotel stay,Travel
518,2026-05-14,11.72,Starbucks Coffee,Starbucks Coffee - Lunch with friends,Food
519,2024-11-18,84.45,Amazon Marketplace,Monthly subscription,Shopping
520,2025-05-28,9.09,Ingram and Sons,Course fee,Transport
521,2025-05-10,3.54,Walmart Supercenter,Walmart Supercenter - Course fee,Shopping
522,2024-11-13,23.2,Amazon Marketplace,Grocery shopping,Shopping
523,2025-06-28,7.42,Starbucks Coffee,Gas refill,Bills
524,2024-06-06,8.84,Marsh Group,Online purchase,Others
525,2025-08-29,63.2,Walmart Supercenter,Walmart Supercenter - Hotel stay,Travel
526,2025-10-11,2.31,"Watson, Wu and Mcgrath","Watson, Wu and Mcgrath - Electric bill payment",Bills
527,2024-02-28,55.25,Lyft,Lyft - Electric bill payment,Transport
528,2025-11-03,42.28,Lyft,Course fee,Transport
529,2026-05-10,18.09,Netflix Streaming,Netflix Streaming - Taxi ride,Entertainment
530,2024-03-16,14.11,Johnson and Sons,Johnson and Sons - Electric bill payment,Bills
531,2026-01-29,5.76,Salas Group,Electric bill payment,Bills
532,2025-06-15,15.27,Netflix Streaming,Netflix Streaming - Taxi ride,Entertainment
533,2023-12-12,2.61,Lyft,Lyft - Electric bill payment,Transport
534,2026-04-23,1.09,Waterworks,Waterworks - Grocery shopping,Bills
535,2025-11-22,27.73,"Wagner, Palmer and Lane","Wagner, Palmer and Lane - Monthly subscription",Shopping
536,2024-08-05,54.78,Netflix Streaming,Netflix Streaming - Hotel stay,Travel
537,2024-08-28,13.62,Uber Eats,Prescription purchase,Transport
538,2023-11-01,3.6,"Ross, Jones and Newton","Ross, Jones and Newton - Online purchase",Travel
539,2025-03-27,3.8,Hawkins Ltd,Hawkins Ltd - Grocery shopping,Education
540,2024-10-20,29.98,Stevens LLC,Online purchase,Utilities
541,2023-09-19,14.39,Harris PLC,Harris PLC - Online purchase,Shopping
542,2025-02-21,26.68,Joe's Pizza,Joe's Pizza - Online purchase,Food
543,2025-02-07,13.48,Starbucks Coffee,Starbucks Coffee - Grocery shopping,Shopping
544,2023-11-06,24.88,Spotify,Monthly subscription,Entertainment
545,2024-02-09,111.77,Gas Station,Gas Station - Grocery shopping,Bills
546,2024-06-02,43.24,Meyer-Hernandez,Meyer-Hernandez - Lunch with friends,Food
547,2026-06-10,5.66,Electric Company,Prescription purchase,Bills
548,2025-12-21,9.36,Corner Grocery,Corner Grocery - Monthly subscription,Others
549,2023-12-19,175.74,"Barker, Johnson and Brooks",Online purchase,Shopping
550,2026-03-29,63.88,Walmart Supercenter,Hotel stay,Travel
551,2023-12-15,70.52,Phillips-Allen,Flight booking,Transport
552,2024-10-25,29.74,Spotify,Spotify - Taxi ride,Entertainment
553,2023-11-19,19.69,State University,State University - Flight booking,Education
554,2023-11-08,35.63,"Diaz, Smith and Williamson","Diaz, Smith and Williamson - Prescription purchase",Others
555,2025-02-07,21.5,"Cooper, Reynolds and Pitts","Cooper, Reynolds and Pitts - Prescription purchase",Transport
556,2026-08-29,13.35,State University,Taxi ride,Education
557,2025-11-03,23.42,Price LLC,Price LLC - Course fee,Food
558,2024-09-13,13.38,Mall Outlet,Mall Outlet - Course fee,Travel
559,2026-02-12,30.02,Amazon Marketplace,Monthly subscription,Shopping
560,2026-06-25,138.56,Joe's Pizza,Joe's Pizza - Taxi ride,Food
561,2023-10-05,10.61,"Herrera, Cook and Lewis",Online purchase,Others
562,2023-11-03,56.99,Lyft,Hotel stay,Transport
563,2024-09-06,143.6,"Taylor, Bowman and Braun","Taylor, Bowman and Braun - Monthly subscription",Food
564,2025-03-20,12.61,City Hospital,City Hospital - Hotel stay,Travel
565,2025-08-17,7.08,Local Taxi,Local Taxi - Electric bill payment,Bills
566,2025-06-10,60.36,Morrison Ltd,Morrison Ltd - Electric bill payment,Bills
567,2025-07-30,21.28,Local Taxi,Local Taxi - Flight booking,Food
568,2023-12-23,4.13,Morris-Ibarra,Morris-Ibarra - Hotel stay,Travel
569,2025-09-28,145.79,Netflix Streaming,Netflix Streaming - Lunch with friends,Entertainment
570,2026-02-05,52.56,"Sosa, Wood and Martinez","Sosa, Wood and Martinez - Hotel stay",Travel
571,2024-10-10,2.32,Mall Outlet,Taxi ride,Travel
572,2026-03-08,14.27,City Hospital,City Hospital - Lunch with friends,Others
573,2025-04-25,3.0,CVS Pharmacy,CVS Pharmacy - Gas refill,Health
574,2025-05-16,9.32,Smith-Bennett,Smith-Bennett - Grocery shopping,Health
575,2025-07-12,7.52,State University,State University - Monthly subscription,Education
576,2026-06-03,12.16,Delta Airlines,Lunch with friends,Travel
577,2026-03-03,47.81,"Miller, Bond and Page",Hotel stay,Travel
578,2024-10-02,45.35,Starbucks Coffee,Starbucks Coffee - Course fee,Shopping
579,2024-09-05,21.95,Uber Eats,Grocery shopping,Transport
580,2024-05-28,6.89,Hilton Hotels,Lunch with friends,Travel
581,2026-02-02,86.55,Gardner Ltd,Hotel stay,Travel
582,2023-10-16,91.28,Walmart Supercenter,Prescription purchase,Shopping
583,2024-06-06,11.72,Williams Ltd,Williams Ltd - Prescription purchase,Transport
584,2025-12-29,24.15,"Washington, Fitzgerald and Zuniga","Washington, Fitzgerald and Zuniga - Online purchase",Utilities
585,2025-08-18,13.97,Pope and Sons,Pope and Sons - Grocery shopping,Food
586,2024-07-15,8.84,"Kim, Coleman and Deleon","Kim, Coleman and Deleon - Lunch with friends",Travel
587,2025-12-20,34.36,Walmart Supercenter,Walmart Supercenter - Prescription purchase,Shopping
588,2026-06-06,71.39,Campbell and Sons,Electric bill payment,Bills
589,2023-11-26,18.48,Amazon Marketplace,Amazon Marketplace - Gas refill,Shopping
590,2024-09-08,10.18,"Lloyd, Davis and Weeks",Hotel stay,Travel
591,2025-03-26,2.33,Lyft,Lyft - Monthly subscription,Transport
592,2024-01-31,57.95,Local Taxi,Local Taxi - Hotel stay,Travel
593,2026-03-10,19.7,Electric Company,Monthly subscription,Bills
594,2024-12-01,9.46,Waterworks,Waterworks - Course fee,Bills
595,2026-08-27,102.57,Local High School,Lunch with friends,Education
596,2025-02-25,3.73,"Swanson, Pineda and Ramos","Swanson, Pineda and Ramos - Course fee",Entertainment
597,2024-02-01,3.81,Gas Station,Hotel stay,Travel
598,2026-08-30,7.28,"Robinson, Hansen and Huynh","Robinson, Hansen and Huynh - Gas refill",Bills
599,2024-11-29,16.42,Martinez-Hopkins,Online purchase,Food
600,2026-01-19,36.54,Davis Ltd,Prescription purchase,Travel
601,2024-12-18,5.1,Amazon Marketplace,Amazon Marketplace - Taxi ride,Shopping
602,2024-11-19,5.57,Maddox and Sons,Taxi ride,Shopping
603,2025-06-27,23.33,Gilmore Inc,Hotel stay,Travel
604,2025-01-09,8.4,Waterworks,Gas refill,Bills
605,2026-04-05,6.91,Butler-Reyes,Grocery shopping,Utilities
606,2024-09-17,26.81,Lyft,Course fee,Transport
607,2025-06-01,68.04,Hilton Hotels,Hotel stay,Travel
608,2024-03-23,2.56,Local Taxi,Lunch with friends,Others
609,2024-12-04,10.13,Sanchez PLC,Sanchez PLC - Grocery shopping,Transport
610,2026-05-18,55.54,"Baldwin, Webster and Monroe",Flight booking,Shopping
611,2026-01-15,25.0,Williams-Jenkins,Grocery shopping,Shopping
612,2024-10-30,35.79,Gas Station,Gas Station - Hotel stay,Travel
613,2025-05-09,33.92,"Campbell, Nielsen and Patton","Campbell, Nielsen and Patton - Prescription purchase",Food
614,2025-06-01,5.49,Spotify,Spotify - Prescription purchase,Entertainment
615,2026-03-20,10.05,"Parker, Davis and Garcia","Parker, Davis and Garcia - Online purchase",Utilities
616,2024-09-21,12.46,Flores-Ingram,Flores-Ingram - Monthly subscription,Shopping
617,2024-02-13,20.06,Local Taxi,Local Taxi - Course fee,Shopping
618,2024-04-05,99.76,Spotify,Hotel stay,Travel
619,2026-08-28,30.03,Delta Airlines,Delta Airlines - Prescription purchase,Travel
620,2024-09-24,24.73,Ballard and Sons,Ballard and Sons - Flight booking,Entertainment
621,2024-01-01,28.41,Waterworks,Prescription purchase,Bills
622,2024-12-13,4.01,City Hospital,Grocery shopping,Utilities
623,2025-07-21,12.69,Walmart Supercenter,Walmart Supercenter - Online purchase,Shopping
624,2025-09-13,23.76,Brown Group,Gas refill,Bills
625,2026-08-10,14.9,Walmart Supercenter,Online purchase,Shopping
626,2023-10-22,3.77,Delta Airlines,Delta Airlines - Taxi ride,Travel
627,2025-06-25,12.19,Hilton Hotels,Hilton Hotels - Prescription purchase,Travel
628,2025-05-17,42.37,State University,Online purchase,Education
629,2024-11-20,23.64,Netflix Streaming,Gas refill,Entertainment
630,2026-06-13,36.46,Local High School,Local High School - Taxi ride,Education
631,2025-11-08,19.43,Spotify,Online purchase,Entertainment
632,2025-03-31,2.44,Starbucks Coffee,Starbucks Coffee - Prescription purchase,Food
633,2025-09-30,2.05,Mall Outlet,Mall Outlet - Taxi ride,Food
634,2024-04-09,18.33,Delta Airlines,Delta Airlines - Course fee,Travel
635,2025-12-25,17.99,Hall-Foster,Hall-Foster - Course fee,Transport
